caseid,age_5,age_10,gender,marital,how_often_rushed,health,mental_health,annual_income,household_income
12748,55 to 59,55 to 64,Male,Married,... about once a week?,... good?,... good?,"$30,000 to $39,999","$60,000 to $79,999"
12749,55 to 59,55 to 64,Female,Divorced,... never,... poor?,... good?,"$30,000 to $39,999","$30,000 to $39,999"
12750,20 to 24,15 to 24,Male,Single (Never married),... a few times a week?,... excellent?,... excellent?,"$15,000 to $19,999",Don't know
12751,60 to 64,55 to 64,Female,Married,... every day?,... very good?,... good?,"$40,000 to $49,999","$100,000 to $149,999"
12752,55 to 59,55 to 64,Male,Married,... every day?,... excellent?,... very good?,"$30,000 to $39,999","$40,000 to $49,999"
12753,40 to 44,35 to 44,Male,Married,... about once a week?,... very good?,... excellent?,"$30,000 to $39,999","$60,000 to $79,999"
12754,25 to 29,25 to 34,Female,Single (Never married),... every day?,... very good?,... very good?,Don't know,Don't know
12755,50 to 54,45 to 54,Male,Married,... every day?,... good?,... good?,Not stated,Not stated
12756,35 to 39,35 to 44,Male,Married,... every day?,... excellent?,... good?,"$80,000 to $99,999","$150,000 or more"
12757,40 to 44,35 to 44,Female,Married,... a few times a week?,... excellent?,... very good?,"$30,000 to $39,999","$100,000 to $149,999"
12758,30 to 34,25 to 34,Female,Married,... about once a week?,... very good?,... very good?,"$50,000 to $59,999","$100,000 to $149,999"
12759,55 to 59,55 to 64,Female,Married,... every day?,... excellent?,... very good?,"$50,000 to $59,999","$150,000 or more"
12760,65 to 69,65 to 74,Male,Widowed,... every day?,... very good?,... very good?,"$15,000 to $19,999","$15,000 to $19,999"
12761,35 to 39,35 to 44,Male,Married,... every day?,... good?,... good?,"$50,000 to $59,999","$100,000 to $149,999"
12762,80 years and over,75 years and over,Female,Widowed,... about once a week?,... good?,... good?,Not stated,Not stated
12763,75 to 79,75 years and over,Female,Married,... never,... good?,... good?,Not stated,Not stated
12764,55 to 59,55 to 64,Male,Married,... about once a week?,... good?,... good?,Not stated,"$50,000 to $59,999"
12765,45 to 49,45 to 54,Female,Single (Never married),... every day?,... excellent?,... excellent?,"$30,000 to $39,999","$30,000 to $39,999"
12766,80 years and over,75 years and over,Male,Married,... never,... very good?,... very good?,"$10,000 to $14,999","$10,000 to $14,999"
12767,50 to 54,45 to 54,Male,Married,... about once a week?,... very good?,... excellent?,Not stated,Not stated
12768,45 to 49,45 to 54,Male,Married,... every day?,... very good?,... excellent?,"$100,000 or more","$150,000 or more"
12769,60 to 64,55 to 64,Female,Divorced,... every day?,... poor?,... excellent?,Not stated,Not stated
12770,55 to 59,55 to 64,Female,Living common-law,... about once a week?,... excellent?,... excellent?,"$20,000 to $29,999","$40,000 to $49,999"
12771,25 to 29,25 to 34,Female,Single (Never married),... every day?,... excellent?,... very good?,"$30,000 to $39,999",Don't know
12772,30 to 34,25 to 34,Female,Married,... about once a week?,... excellent?,... excellent?,"$60,000 to $79,999","$150,000 or more"
12773,80 years and over,75 years and over,Female,Divorced,... about once a month?,... very good?,... very good?,"$15,000 to $19,999","$15,000 to $19,999"
12774,55 to 59,55 to 64,Male,Married,... a few times a week?,... fair?,... good?,"$60,000 to $79,999","$100,000 to $149,999"
12775,40 to 44,35 to 44,Female,Married,... every day?,... good?,... excellent?,Not stated,Not stated
12776,60 to 64,55 to 64,Female,Divorced,... less than once a month?,... fair?,... fair?,"$20,000 to $29,999","$20,000 to $29,999"
12777,45 to 49,45 to 54,Male,Married,... every day?,... good?,... good?,"$100,000 or more","$100,000 to $149,999"
12778,45 to 49,45 to 54,Male,Married,... a few times a week?,... good?,... good?,"$10,000 to $14,999","$10,000 to $14,999"
12779,15 to 17,15 to 24,Male,Single (Never married),... a few times a week?,... good?,... very good?,No income,"$30,000 to $39,999"
12780,40 to 44,35 to 44,Female,Single (Never married),... every day?,... very good?,... very good?,"$20,000 to $29,999","$20,000 to $29,999"
12781,20 to 24,15 to 24,Female,Single (Never married),... a few times a week?,... very good?,... very good?,"$10,000 to $14,999","$150,000 or more"
12782,15 to 17,15 to 24,Male,Single (Never married),... about once a week?,... good?,... fair?,No income,Don't know
12783,60 to 64,55 to 64,Female,Married,... about once a week?,... very good?,... very good?,"Less than $5,000","$30,000 to $39,999"
12784,65 to 69,65 to 74,Male,Married,... a few times a week?,... very good?,... poor?,Not stated,Not stated
12785,70 to 74,65 to 74,Female,Married,... every day?,... good?,... excellent?,"$50,000 to $59,999",Don't know
12786,80 years and over,75 years and over,Female,Widowed,... every day?,... good?,... good?,"$20,000 to $29,999","$20,000 to $29,999"
12787,75 to 79,75 years and over,Female,Widowed,... every day?,... poor?,... very good?,"$15,000 to $19,999","$15,000 to $19,999"
12788,40 to 44,35 to 44,Female,Married,... every day?,... poor?,... poor?,"$40,000 to $49,999","$100,000 to $149,999"
12789,60 to 64,55 to 64,Female,Married,... about once a week?,... very good?,... very good?,Not stated,Not stated
12790,25 to 29,25 to 34,Male,Married,... a few times a week?,... excellent?,... excellent?,"$60,000 to $79,999","$100,000 to $149,999"
12791,40 to 44,35 to 44,Female,Separated,... never,... very good?,... fair?,"$60,000 to $79,999","$100,000 to $149,999"
12792,45 to 49,45 to 54,Female,Married,... every day?,... poor?,... poor?,"$20,000 to $29,999","$50,000 to $59,999"
